numthread	isstatic	time		cpu
2		static,1	7642480		200
2		s,20		7216656		200
2		s,200		6507951		200
2		s,2000		7232428		200
2		s,20000		8670240		200
2		s,200000	14252716	200
2		dynamic,1	6817008		200
2		d,2		6829121		200
2		d,3		6823713		200
2		d,5		6696480		200
2		d,10		6711460 	200
2		d,20		6681592		200
2		d,50		6595036		200
2		d,200		6713522		200
2		d,2000		6932967		200
2		d,20000		7897646		200
2		d,200000	13944454	200

1		--		14282532	100
3		s,20		6482461		300
4		s,20		5305824		393
5		s,20		5519050		395
6		s,20		5445593		392

	
3		d,20		6008758		300
4		d,20		5429921		398
5		d,20		5405343		393
6		d,20		5433554		398


